ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
ObjectMoveToDoc	Переместить элемент в документ	Правка	Перемещение элемента из приложения в документ Переместить элемент в документ		c:\vt5\vt5\x64\Debug\comps\Data.dll	ObjectName:string		
EditPaste	Вставить	Правка	Вставить элемент из буфера обмена Вставить		c:\vt5\vt5\x64\Debug\comps\Data.dll			
EditCut	Вырезать	Правка	Переместить  элемент в буфер обмена Вырезать		c:\vt5\vt5\x64\Debug\comps\Data.dll	ObjectName:string		
EditCopy	Копировать	Правка	Копирование элемента в буфер обмена Копировать		c:\vt5\vt5\x64\Debug\comps\Data.dll	ObjectName:string		
ObjectDrag	ObjectDrag	По умолчанию	ObjectDrag ObjectDrag		c:\vt5\vt5\x64\Debug\comps\Data.dll	xOffset:int=0; yOffset:int=0		
ObjectDrop	ObjectDrop	По умолчанию	ObjectDrop ObjectDrop		c:\vt5\vt5\x64\Debug\comps\Data.dll	PositionX:int=0; PositionY:int=0; Copy:int=0		
ObjectDeleteSelection	Удалить активный объект	Правка	Удаление активного объекта Удалить активный объект		c:\vt5\vt5\x64\Debug\comps\Data.dll			
DataShowContents	Показать сожержание данных...	For Developers	Показать сожержание данных Показать сожержание данных		c:\vt5\vt5\x64\Debug\comps\Data.dll			
DataUnselect	Снять выделение всех объектов	Internal Actions	Снять выделение всех объектов Снять выделение всех объектов		c:\vt5\vt5\x64\Debug\comps\Data.dll			
ShowContext	Окно Содержание	Вид	Показать окно Содержание документа Окно Содержание		c:\vt5\vt5\x64\Debug\comps\Data.dll			
ChooseObject	Выбрать объект...	Правка	Выбрать объект Выбрать объект		c:\vt5\vt5\x64\Debug\comps\DataUI.dll			
GridObjectHeight	Высота строки	---	Высота строки Высота строки		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ObjectRow:int=-1; Height:int=100		
CopyAllMeasCell	Копировать все ячейкиl	Измерения	Копировать все ячейки Копировать все ячейки		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
CopySelectedMeasCell	Копировать выбранные ячейкиl	Измерения	Копировать выбранные ячейки Копировать выбранные ячейки		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
AlignGridByImage	Выровнять сетку по изображению	Измерения	Выровнять сетку по изображению Выровнять сетку по изображению		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
