ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
NewDBFromTemplate	Новая база из активной...	База данных	Создать новую базу на основе активной Новая база из активной					
EmptyDBField	Очистить поле	База данных	Удалить данные из поля Очистить поле					
UpdateRecordsetInfo	UpdateRecordsetInfo	База данных	UpdateRecordsetInfo UpdateRecordsetInfo					
DeleteRecords	Удалить записи	База данных	Удалить Удалить записи			Question:int=1		
FieldProperties	Свойства поля...	База данных	Свойства поля Свойства поля					
RecordInfo	Информация о записи	База данных	Информация о записи Информация о записи					
RemoveAllSortFields	Отменить все сортировки	База данных	Отменить все сортировки Отменить все сортировки					
AddSortFieldDesc	Добавить сортировку по убыванию	База данных	Добавить сортировку по убыванию Добавить сортировку по убыванию					
AddSortFieldAsc	Добавить сортировку по возрастанию	База данных	Добавить сортировку по возрастанию Добавить сортировку по возрастанию					
AdvanceConnection	Расширенное подключение	База данных	Расширенное подключение Расширенное подключение					
LoadDatabase	Загрузить новую базу данных	База данных	Загрузить новую базу данных Загрузить новую базу данных					
TableWizard	Структура базы данных...	База данных	Структура базы данных Структура базы данных					
MoveFirst	Первая запись	База данных	Первая запись Первая запись					
MoveLast	Последняя запись	База данных	Последняя запись Последняя запись					
MoveNext	Следующая запись	База данных	Следующая запись Следующая запись					
MovePrev	Предыдущая запись	База данных	Предыдущая запись Предыдущая запись					
DeleteRecord	Удалить запись	База данных	Удалить запись Удалить запись					
InsertRecord	Добавить запись	База данных	Добавить запись Добавить запись					
EditRecord	Редактировать запись	База данных	Редактировать запись Редактировать запись					
Update	Обновить	База данных	Обновить базу данных Обновить					
Cancel	Отмена	База данных	Отмена Отмена					
ChoiceQuery	Выбрать запрос	База данных	Выбрать запрос Выбрать запрос					
ShowBlankDesign	Конструктор бланка	База данных	Конструктор бланка Конструктор бланка					
ShowBlankPreview	Бланк	База данных	Показать записи в виде бланков Показать бланк					
ShowGallery	Галерея	База данных	Показать записи в виде галереи Показать галерею					
